,FAT_YEARMONTH,FAT_DAY,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,BEGIN_TIME,END_DAY,END_TIME,EPISODE_ID,STATE,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,CZ_TIMEZONE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE
4253,201807,19,39288,775196,D,9,M,Boating,1800,19,1800,127706,MISSOURI,2018,July,Thunderstorm Wind,C,209,STONE,SGF,CST-6,0,0,17,0,0,0,Local Official
4254,201807,19,39289,775196,D,1,F,Boating,1800,19,1800,127706,MISSOURI,2018,July,Thunderstorm Wind,C,209,STONE,SGF,CST-6,0,0,17,0,0,0,Local Official
4255,201807,19,39290,775196,D,15,M,Boating,1800,19,1800,127706,MISSOURI,2018,July,Thunderstorm Wind,C,209,STONE,SGF,CST-6,0,0,17,0,0,0,Local Official
4256,201807,19,39291,775196,D,40,M,Boating,1800,19,1800,127706,MISSOURI,2018,July,Thunderstorm Wind,C,209,STONE,SGF,CST-6,0,0,17,0,0,0,Local Official
4257,201807,19,39292,775196,D,53,M,Boating,1800,19,1800,127706,MISSOURI,2018,July,Thunderstorm Wind,C,209,STONE,SGF,CST-6,0,0,17,0,0,0,Local Official
4258,201807,19,39293,775196,D,76,M,Boating,1800,19,1800,127706,MISSOURI,2018,July,Thunderstorm Wind,C,209,STONE,SGF,CST-6,0,0,17,0,0,0,Local Official
4259,201807,19,39294,775196,D,73,M,Boating,1800,19,1800,127706,MISSOURI,2018,July,Thunderstorm Wind,C,209,STONE,SGF,CST-6,0,0,17,0,0,0,Local Official
4260,201807,19,39295,775196,D,69,M,Boating,1800,19,1800,127706,MISSOURI,2018,July,Thunderstorm Wind,C,209,STONE,SGF,CST-6,0,0,17,0,0,0,Local Official
4261,201807,19,39296,775196,D,65,M,Boating,1800,19,1800,127706,MISSOURI,2018,July,Thunderstorm Wind,C,209,STONE,SGF,CST-6,0,0,17,0,0,0,Local Official
4262,201807,19,39297,775196,D,63,F,Boating,1800,19,1800,127706,MISSOURI,2018,July,Thunderstorm Wind,C,209,STONE,SGF,CST-6,0,0,17,0,0,0,Local Official
