FAT_YEARMONTH,FAT_DAY,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,BEGIN_TIME,END_DAY,END_TIME,EPISODE_ID,STATE,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE
201312,21,21498,491760,D,86,F,Vehicle/Towed Trailer,2000,21,2200,81872,INDIANA,2013,December,Flash Flood,C,119,OWEN,IND,12/21/2013 20:00,EST-5,12/21/2013 22:00,0,0,1,0,5000,0,Broadcast Media
201312,20,21510,491887,D,50,M,Boating,1100,20,1800,81902,GUAM,2013,December,High Surf,Z,6,GUAM,GUM,12/20/2013 11:00,GST10,12/20/2013 18:00,2,0,1,0,0,0,Newspaper
201312,25,21523,491888,D,37,M,In Water,1200,25,1900,81903,GUAM,2013,December,High Surf,Z,6,GUAM,GUM,12/25/2013 12:00,GST10,12/25/2013 19:00,2,0,2,0,0,0,Newspaper
201312,25,21524,491888,D,40,M,In Water,1200,25,1900,81903,GUAM,2013,December,High Surf,Z,6,GUAM,GUM,12/25/2013 12:00,GST10,12/25/2013 19:00,2,0,2,0,0,0,Newspaper
201312,20,21511,491889,D,67,M,In Water,1100,20,1200,81902,GUAM,2013,December,Rip Current,Z,6,GUAM,GUM,12/20/2013 11:00,GST10,12/20/2013 12:00,0,0,1,0,0,0,Newspaper
201312,22,21543,492592,D,37,F,Vehicle/Towed Trailer,1200,22,400,80363,KENTUCKY,2013,December,Flood,C,179,NELSON,LMK,12/21/2013 12:00,EST-5,12/22/2013 4:00,2,0,3,0,15000,0,Emergency Manager
201312,22,21544,492592,D,61,M,Vehicle/Towed Trailer,1200,22,400,80363,KENTUCKY,2013,December,Flood,C,179,NELSON,LMK,12/21/2013 12:00,EST-5,12/22/2013 4:00,2,0,3,0,15000,0,Emergency Manager
201312,22,21545,492592,D,58,M,Vehicle/Towed Trailer,1200,22,400,80363,KENTUCKY,2013,December,Flood,C,179,NELSON,LMK,12/21/2013 12:00,EST-5,12/22/2013 4:00,2,0,3,0,15000,0,Emergency Manager
201302,2,21572,493442,D,23,M,Outside/Open Areas,1330,2,1340,82046,COLORADO,2013,February,Avalanche,Z,19,SOUTHWESTERN SAN JUAN MOUNTAINS,GJT,2/2/2013 13:30,MST-7,2/2/2013 13:40,2,0,1,0,0,0,Department of Highways
201301,13,21571,493446,D,37,M,Outside/Open Areas,1415,13,1420,82047,COLORADO,2013,January,Avalanche,Z,12,WEST ELK AND SAWATCH MOUNTAINS,GJT,1/13/2013 14:15,MST-7,1/13/2013 14:20,0,0,1,0,0,0,Department of Highways
